"node_id","inn","name","note","type","type_description","address","latitude","longitude","is_contracted","is_built","plan_2022","node_distance","cost"
"УС01","1325128809","МУ ""АВТОБАЗА АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА САРАНСК""","","ПВ ОМСУ","Прочее","г. Саранск Ул. КРУПСКОЙ 25","54.182211","45.195482","нет","нет","","350","87500"
"УС01","1326000463","ГБУК ""МОРДОВСКИЙ ГОСУДАРСТВЕННЫЙ НАЦИОНАЛЬНЫЙ ДРАМАТИЧЕСКИЙ ТЕАТР""","","ПВ ОГВ","Прочее","г. Саранск Ул. СОВЕТСКАЯ 27","54.180720","45.191592","нет","нет","","700","175000"
"УС01","1326002012","ГБУК ""МОРДОВСКИЙ ГОСУДАРСТВЕННЫЙ АНСАМБЛЬ ПЕСНИ И ТАНЦА ""УМАРИНА""","","ПВ ОГВ","Прочее","г. Саранск Ул. ПРОЛЕТАРСКАЯ 39","54.185673","45.178099","нет","нет","","400","100000"
"УС01","1326022788","ГБУК ""ГОСУДАРСТВЕННЫЙ РУССКИЙ ДРАМАТИЧЕСКИЙ ТЕАТР РМ""","","ПВ ОГВ","Прочее","г. Саранск Ул. СОВЕТСКАЯ 60","54.181115","45.175054","нет","нет","да","220","55000"
"УС01","1326028941","МБУК ""ГОРОДСКОЙ ДЕТСКИЙ ЦЕНТР ТЕАТРА И КИНО ""КРОШКА""","","ПВ ОМСУ","Прочее","г. Саранск Ул. ПОЛЕЖАЕВА 159Г","54.19033","45.166852","нет","нет","","100","25000"
"УС01","1326036501","МАОУ ""ПРОГИМНАЗИЯ № 119""","","ПВ ОМСУ","Школы","г. Саранск Ул. Б.ХМЕЛЬНИЦКОГО 37","54.187469","45.189661","нет","нет","","120","30000"
"УС01","1326045383","ГБУЗ РМ ""РЕСПУБЛИКАНСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ С.В. КАТКОВА” (поликлиническое отделение 1)","","ПВ ОГВ","ЛПУ","г. Саранск Ул. БОТЕВГРАДСКАЯ 21","54.182612","45.172152","нет","да","","0","0"
"УС01","1326045383","ГБУЗ РМ ""РЕСПУБЛИКАНСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ С.В. КАТКОВА” (хирургический корпус)","","ПВ ОГВ","ЛПУ","г. Саранск Ул. КОММУНИСТИЧЕСКАЯ 64","54.184282","45.170185","нет","да","","0","0"
"УС01","1326045383","ГБУЗ РМ ""РЕСПУБЛИКАНСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ С.В. КАТКОВА” (поликлиническое отделение 2)","","ПВ ОГВ","ЛПУ","г. Саранск Ул. СОВЕТСКАЯ 79","54.181932","45.17226","нет","да","","0","0"
"УС01","1326045792","ГАУЗ РМ “РВФД"" (отделение 1)","","ПВ ОГВ","ЛПУ","г. Саранск Ул. БОТЕВГРАДСКАЯ 25","54.183276","45.172368","нет","да","","0","0"
"УС01","1326047246","ГБУК ""МОРДОВСКИЙ РЕСПУБЛИКАНСКИЙ МУЗЕЙ  ИЗОБРАЗИТЕЛЬНЫХ ИСКУССТВ ИМЕНИ С.Д.ЭРЬЗИ""","","ПВ ОГВ","Прочее","г. Саранск Ул. КОММУНИСТИЧЕСКАЯ 61","54.185199","45.179833","нет","нет","да","100","25000"
"УС01","1326134121","ГБУЗ РМ ""СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ""","","ПВ ОГВ","ЛПУ","г. Саранск Ул. КОММУНИСТИЧЕСКАЯ 86","54.18396084073580","45.16497665872080","нет","да","","0","0"
"УС01","1326134160","ГАОУДПО РМ ""МРЦПКСЗ""","","ПВ ОГВ","Прочее","г. Саранск Ул. КОММУНИСТИЧЕСКАЯ 66","54.184456","45.167831","нет","нет","","390","97500"
"УС01","1326134450","ГОСУКС РМ","","ПВ ОГВ","Прочее","г. Саранск Ул. СТЕПАНА РАЗИНА 17","54.1867832347858","45.16631650793420","да","да","","0","0"
"УС01","1326135164","МДОУ ""ДЕТСКИЙ САД №40""","","ПВ ОМСУ","Дет. сады","г. Саранск Ул. СТЕПАНА РАЗИНА 40А","54.188971","45.168658","нет","нет","","130","32500"
"УС01","1326135510","МДОУ ""ДЕТСКИЙ САД №1""","","ПВ ОМСУ","Дет. сады","г. Саранск Ул. РАБОЧАЯ 7","54.181547","45.193694","нет","нет","","250","62500"
"УС01","1326135735","МОУ ""ГИМНАЗИЯ № 19""","","ПВ ОМСУ","Школы","г. Саранск Ул. КОММУНИСТИЧЕСКАЯ 103","54.185457","45.164032","да","да","","0","0"
"УС01","1326136016","ГБПОУ РМ ""САРАНСКИЙ МЕДИЦИНСКИЙ КОЛЛЕДЖ""","","ПВ ОГВ","Прочее","г. Саранск Ул. СТЕПАНА РАЗИНА 21","54.187954","45.166628","нет","нет","","100","25000"
"УС01","1326136947","ГБУЗ РМ ""ДЕТСКАЯ ПОЛИКЛИНИКА №1” (отделение 1)","","ПВ ОГВ","ЛПУ","г. Саранск Ул. СТЕПАНА РАЗИНА 19","54.187369","45.166664","нет","нет","","360","90000"
"УС01","1326137041","ГКУ РМ “НИИ ГУМАНИТАРНЫХ НАУК ПРИ ПРАВИТЕЛЬСТВЕ РМ”","","ПВ ОГВ","Прочее","г. Саранск Ул. Л.ТОЛСТОГО 3","54.182522","45.185313","нет","нет","","100","25000"
"УС01","1326137281","ГКУЗ РМ ""РБ СМЭ""","","ПВ ОГВ","ЛПУ","г. Саранск Ул. БОЛЬШЕВИСТСКАЯ 120","54.197631","45.182905","нет","нет","","100","25000"
"УС01","1326137612","МОУ ""ГИМНАЗИЯ № 20 ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА В.Б. МИРОНОВА""","","ПВ ОМСУ","Школы","г. Саранск Ул. СОВЕТСКАЯ 77","54.181974","45.173608","нет","да","","0","0"
"УС01","1326140397","ГБУК ""МОРДОВСКИЙ РЕСПУБЛИКАНСКИЙ ОБЪЕДИНЕННЫЙ КРАЕВЕДЧЕСКИЙ МУЗЕЙ ИМЕНИ И.Д.ВОРОНИНА""","","ПВ ОГВ","Прочее","г. Саранск Ул. САРАНСКАЯ 2","54.177748","45.179689","да","да","","0","0"
"УС01","1326141231","МБУДО ""ДХШ № 1 ИМ. П.Ф. РЯБОВА""","","ПВ ОМСУ","Школы","г. Саранск Ул. МОСКОВСКАЯ 5","54.179197","45.185546","нет","нет","","100","25000"
"УС01","1326141263","ГБУ РМ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА СПОРТИВНОЙ БОРЬБЫ И ДЗЮДО А.В. МИШИНА""","","ПВ ОГВ","Спорт","г. Саранск Ул. ПРОЛЕТАРСКАЯ 39","54.185673","45.178099","да","нет","","400","100000"
"УС01","1326141986","МДОУ ""ДЕТСКИЙ САД №32""","","ПВ ОМСУ","Дет. сады","г. Саранск Ул. ФЕДОСЕЕНКО 10","54.193238","45.182258","нет","нет","","100","25000"
"УС01","1326143567","МБУК ""ЦГБС ДЛЯ ДЕТЕЙ""","","ПВ ОМСУ","Прочее","г. Саранск Ул. ПОЛЕЖАЕВА 70","54.189608","45.164598","нет","нет","","100","25000"
"УС01","1326183136","МАДОУ ""ЦЕНТР РАЗВИТИЯ РЕБЕНКА - ДЕТСКИЙ САД № 73""","","ПВ ОМСУ","Дет. сады","г. Саранск Ул. ФЕДОСЕЕНКО 12","54.193259","45.180947","нет","нет","","160","40000"
"УС01","1326183993","КУ ""ГОРОДСКОЕ ЖИЛИЩНОЕ АГЕНТСТВО""","","ПВ ОМСУ","Прочее","г. Саранск Ул. ПОЛЕЖАЕВА 161","54.190520","45.164714","нет","нет","","400","100000"
"УС01","1326186232","МП ГОРОДСКОГО ОКРУГА САРАНСК ""ГОРОДСКОЙ ЗООПАРК""","","ПВ ОМСУ","Прочее","г. Саранск Ул. Первомайская 6","54.17373854711460","45.18476901206570","нет","нет","","290","72500"
"УС01","1326186465","ГБУ РМ ""КОМПЛЕКСНАЯ СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА""","","ПВ ОГВ","Спорт","г. Саранск Ул. ТЕРЕШКОВОЙ 24А","54.191942","45.168981","да","нет","","550","137500"
"УС01","1326186480","ГБУК ""РЕСПУБЛИКАНСКИЙ ДОМ НАРОДНОГО ТВОРЧЕСТВА""","","ПВ ОГВ","Прочее","г. Саранск Ул. ПРОЛЕТАРСКАЯ 39","54.185673","45.178099","нет","нет","","400","100000"
"УС01","1326192268","Управление Росреестра по Республике Мордовия","","Прочее","","г. Саранск Ул. СТЕПАНА РАЗИНА 17","54.1867832347858","45.16631650793420","нет","да","да","0","0"
"УС01","1326193913","ГКАУ ""ГАДЛС РМ""","","ПВ ОГВ","Прочее","г. Саранск Ул. САРАНСКАЯ 2","54.177748","45.179689","да","да","да","0","0"
"УС01","1326196375","Территориальный Орган Росздравнадзора по Республике Мордовия","","Прочее","","г. Саранск Ул. ВАСЕНКО 11","54.195171","45.169143","нет","да","да","0","0"
"УС01","1326196801","КУ Г.О. САРАНСК ""ГОРОДСКАЯ НЕДВИЖИМОСТЬ""","","ПВ ОМСУ","Прочее","г. Саранск Ул. СОВЕТСКАЯ 75А","54.182448","45.17509","нет","нет","","130","32500"
"УС01","1326198767","СЧЕТНАЯ ПАЛАТА РМ","","ОГВ","","г. Саранск Ул. СОВЕТСКАЯ 35","54.181600","45.186373","да","да","","0","0"
"УС01","1326199753","ГБУ РМ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА ПО ХОККЕЮ""","","ПВ ОГВ","Спорт","г. Саранск Ул. КРАСНАЯ 40","54.177590","45.190792","да","нет","","980","245000"
"УС01","1326200279","ГАУ ""ГОСЭКСПЕРТИЗА РМ""","","ПВ ОГВ","Прочее","г. Саранск Ул. СОВЕТСКАЯ 109","54.182591","45.166807","да","да","","0","0"
"УС01","1326201272","ГАУ РМ ""ЛЕДОВЫЙ ДВОРЕЦ""","","ПВ ОГВ","Спорт","г. Саранск Ул. КРАСНАЯ 40","54.177590","45.190792","да","нет","","980","245000"
"УС01","1326201635","МП ГОРОДСКОГО ОКРУГА САРАНСК ""ДЕТСКАЯ ПИЩЕВАЯ СТАНЦИЯ""","","ПВ ОМСУ","Прочее","г. Саранск Ул. ПОЛЕЖАЕВА 159Б","54.191468","45.166709","нет","нет","","100","25000"
"УС01","1326206383","ГУП РМ ""КОМБИНАТ ПИТАНИЯ ""МОРДОВИЯ""","","ПВ ОГВ","Прочее","г. Саранск Ул. СОВЕТСКАЯ 35","54.181600","45.186373","да","да","","0","0"
"УС01","1326209433","МБУК ""ДВОРЕЦ КУЛЬТУРЫ Г. О. САРАНСК""","","ПВ ОМСУ","Прочее","г. Саранск Ул. ТИТОВА 23","54.186005","45.162379","нет","нет","","330","82500"
"УС01","1326209761","ГКУ ""СОЦЗАЩИТА НАСЕЛЕНИЯ ПО Г.О. САРАНСК""","","ПВ ОГВ","Прочее","г. Саранск Ул. ПРОЛЕТАРСКАЯ 21","54.180999","45.177174","да","да","","0","0"
"УС01","1326211136","МАУК ""ГОРОДСКИЕ ПАРКИ""","","ПВ ОМСУ","Прочее","г. Саранск Ул. КРАСНОАРМЕЙСКАЯ 12","54.175271","45.181639","нет","нет","","210","52500"
"УС01","1326222642","ГАУ ""ФОЛЬКЛОРНЫЙ АНСАМБЛЬ ""ТОРАМА""","","ПВ ОГВ","Прочее","г. Саранск Ул. СОВЕТСКАЯ 27","54.18072","45.191592","нет","нет","","280","70000"
"УС01","1326233531","ГКУ РМ ""УПРАВЛЕНИЕ ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ ЖКК РМ""","","ПВ ОГВ","Прочее","г. Саранск Пр. ЛЕНИНА 2","54.182396","45.186274","да","да","","0","0"
"УС01","1326235232","МАДОУ ""ЦЕНТР РАЗВИТИЯ РЕБЕНКА-ДЕТСКИЙ САД № 2""","","ПВ ОМСУ","Дет. сады","г. Саранск Ул. МОРДОВСКАЯ 1","54.17437","45.18269","нет","нет","","215","53750"
"УС01","1326251107","МБУ Г.О. САРАНСК ""УЮТ""","","ПВ ОМСУ","Прочее","г. Саранск Пр. ЛЕНИНА 42б","54.196172","45.186732","нет","нет","","240","60000"
"УС01","1326252534","ГКУ РМ ""ЦБ УЧРЕЖДЕНИЙ МИНСПОРТА РМ""","","ПВ ОГВ","Спорт","г. Саранск Ул. КРАСНАЯ 22","54.177226","45.194251","нет","нет","","900","225000"
"УС01","1326254620","МАДОУ ""ЦЕНТР РАЗВИТИЯ РЕБЕНКА - ДЕТСКИЙ САД № 10""","","ПВ ОМСУ","Дет. сады","г. Саранск Ул. Б.ХМЕЛЬНИЦКОГО 96","54.17840848975270","45.12309492565910","нет","нет","","240","60000"
"УС01","1327007790","ГБУ РМ ""КОМПЛЕКСНЫЙ ЦЕНТР СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ПО ГОРОДСКОМУ ОКРУГУ САРАНСК""","","ПВ ОГВ","Прочее","г. Саранск Ул. СОВЕТСКАЯ 65","54.181674","45.175566","да","да","","0","0"
"УС01","1327007976","ООО “Спектр"" (Поликлиника Ким)","","Прочее","","г. Саранск Ул. ВАСЕНКО 11","54.195171","45.169143","нет","да","да","0","0"
"УС01","1328048044","МОУ ""СРЕДНЯЯ ШКОЛА № 6""","","ПВ ОМСУ","Школы","г. Саранск Ул. РАБОЧАЯ 33А","54.164666","45.218272","нет","нет","","1400","350000"
"УС01","1328160582","МДОУ ""ДЕТСКИЙ САД №83 КОМБИНИРОВАННОГО ВИДА""","","ПВ ОМСУ","Дет. сады","г. Саранск Ул. РАБОЧАЯ 31","54.16587943582290","45.21860166731980","нет","нет","","120","30000"
"УС01","1328166746","ГУП РМ ""ЛУХОВСКОЕ""","","ПВ ОГВ","Прочее","г. Саранск Ул. КРУПСКОЙ 127","54.132920","45.252534","нет","нет","","5000","1250000"
"УС02","1300050357","АДМИНИСТРАЦИЯ ГЛАВЫ РМ (Сенатор)","","ОГВ","","г. Саранск Ул. СОВЕТСКАЯ 26","54.18024","45.188816","да","да","","0","0"
"УС02","1325031067","ГБУ РМ ""ФОНД ИМУЩЕСТВА""","","ПВ ОГВ","Прочее","г. Саранск Ул. СОВЕТСКАЯ 26","54.18024","45.188816","да","да","","0","0"
"УС02","1325031476","ГОСКОМИМУЩЕСТВО РМ","","ОГВ","","г. Саранск Ул. СОВЕТСКАЯ 26","54.18024","45.188816","да","да","","0","0"
"УС02","1325126350","ЦЕНТРАЛЬНАЯ ИЗБИРАТЕЛЬНАЯ КОМИССИЯ РМ","","ОГВ","","г. Саранск Ул. СОВЕТСКАЯ 26","54.18024","45.188816","нет","да","да","0","0"
"УС02","1326135968","МИНЭКОНОМИКИ РМ","","ОГВ","","г. Саранск Ул. СОВЕТСКАЯ 26","54.18024","45.188816","да","да","","0","0"
"УС02","1326221529","АППАРАТ ГОСУДАРСТВЕННОГО СОБРАНИЯ РМ","","ОГВ","","г. Саранск Ул. СОВЕТСКАЯ 26","54.18024","45.188816","да","да","","0","0"
"УС02","1326250209","ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","","ПВ ОГВ","Прочее","г. Саранск Ул. СОВЕТСКАЯ 26","54.18024","45.188816","да","да","","0","0"
"УС02","1328160293","ГБУЗ РМ ""РОДИЛЬНЫЙ ДОМ” (Женская консультация №1)","","ПВ ОГВ","ЛПУ","г. Саранск Ул. ВОЛОДАРСКОГО 2","54.1814","45.189265","нет","нет","","250","62500"
"УС03","1300002949","ГУП РМ ""ФАРМАЦИЯ""","","ПВ ОГВ","ЛПУ","г. Саранск Ул. 1-АЯ ПРОМЫШЛЕННАЯ 8","54.232548","45.174111","нет","нет","","980","245000"
"УС03","1325012787","МП ГОРОДСКОГО ОКРУГА САРАНСК ""КАДАСТР""","","ПВ ОМСУ","Прочее","г. Саранск Пр. ЛЕНИНА 4","54.182475","45.186993","нет","нет","","100","25000"
